subject,idna_subject,expiration_date,epoch
050y9lhe8p.com,050y9lhe8p.com,28-may-2021,1622160000.0
0i0i0i0.com,0i0i0i0.com,09-apr-2023,1680998400.0
101order.com,101order.com,14-aug-2021,1628899200.0
123found.com,123found.com,26-jan-2021,1611619200.0
123mov.is,123mov.is,28-feb-2021,1614470400.0
140proof.com,140proof.com,13-jan-2022,1642032000.0
180searchassistant.com,180searchassistant.com,11-mar-2021,1615420800.0
1mp.mobi,1mp.mobi,15-apr-2021,1618444800.0
1phads.com,1phads.com,12-feb-2021,1613088000.0
1x1rank.com,1x1rank.com,09-jun-2021,1623196800.0
207.net,207.net,10-jul-2021,1625875200.0
247realmedia.com,247realmedia.com,30-oct-2021,1635552000.0
24log.com,24log.com,26-may-2022,1653523200.0
24pm-affiliation.com,24pm-affiliation.com,25-jun-2021,1624579200.0
2mdn.net,2mdn.net,02-may-2021,1619913600.0
2o7.net,2o7.net,29-sep-2021,1632873600.0
360in.com,360in.com,16-jan-2021,1610755200.0
360yield.com,360yield.com,02-jun-2021,1622592000.0
3cinteractive.com,3cinteractive.com,01-apr-2021,1617235200.0
3gl.net,3gl.net,22-dec-2021,1640131200.0
4affiliate.net,4affiliate.net,18-jun-2021,1623974400.0
4d5.net,4d5.net,01-jun-2021,1622505600.0
4dsply.com,4dsply.com,10-apr-2021,1618012800.0
4info.com,4info.com,28-aug-2023,1693180800.0
4mads.com,4mads.com,08-jul-2021,1625702400.0
4seeresults.com,4seeresults.com,13-jul-2023,1689206400.0
50websads.com,50websads.com,05-may-2021,1620172800.0
518ad.com,518ad.com,05-mar-2025,1741132800.0
51yes.com,51yes.com,24-nov-2026,1795478400.0
5pr1sfzsl9.com,5pr1sfzsl9.com,28-may-2021,1622160000.0
5thfinger.com,5thfinger.com,26-apr-2021,1619395200.0
777partner.com,777partner.com,20-jan-2021,1611100800.0
777seo.com,777seo.com,24-aug-2021,1629763200.0
77tracking.com,77tracking.com,07-apr-2021,1617753600.0
7bpeople.com,7bpeople.com,07-aug-2022,1659830400.0
7search.com,7search.com,25-may-2021,1621900800.0
7solo.biz,7solo.biz,28-may-2021,1622160000.0
8live.com,8live.com,13-apr-2022,1649808000.0
8ozhygzz5eke.com,8ozhygzz5eke.com,20-jun-2021,1624147200.0
970ztqtss4.com,970ztqtss4.com,28-may-2021,1622160000.0
99count.com,99count.com,18-apr-2021,1618704000.0
a-ads.com,a-ads.com,07-jul-2021,1625616000.0
a2dfp.net,a2dfp.net,01-apr-2022,1648771200.0
a9.com,a9.com,07-sep-2024,1725667200.0
aaddzz.com,aaddzz.com,27-feb-2021,1614384000.0
aarki.com,aarki.com,24-jun-2021,1624492800.0
abacho.net,abacho.net,16-sep-2021,1631750400.0
absoluteclickscom.com,absoluteclickscom.com,10-apr-2021,1618012800.0
abz.com,abz.com,21-feb-2021,1613865600.0
accesstrade.com,accesstrade.com,13-sep-2021,1631491200.0
acento.com,acento.com,25-aug-2024,1724544000.0
ackak.com,ackak.com,19-may-2021,1621382400.0
acrmbjkk6qc5utby.pro,acrmbjkk6qc5utby.pro,13-feb-2021,1613174400.0
acsseo.com,acsseo.com,26-jan-2021,1611619200.0
actionsplash.com,actionsplash.com,13-jun-2021,1623542400.0
actualdeals.com,actualdeals.com,01-mar-2021,1614556800.0
acuityads.com,acuityads.com,25-sep-2021,1632528000.0
ad-balancer.net,ad-balancer.net,20-may-2021,1621468800.0
ad-delivery.net,ad-delivery.net,03-may-2021,1620000000.0
ad-maven.com,ad-maven.com,07-dec-2022,1670371200.0
ad-miner.com,ad-miner.com,26-jan-2021,1611619200.0
ad-rotator.com,ad-rotator.com,27-jun-2027,1814054400.0
ad-souk.com,ad-souk.com,15-aug-2021,1628985600.0
ad-space.net,ad-space.net,15-jun-2021,1623715200.0
ad-stir.com,ad-stir.com,11-aug-2021,1628640000.0
ad-sys.com,ad-sys.com,08-may-2022,1651968000.0
ad-tech.com,ad-tech.com,20-may-2021,1621468800.0
ad-up.com,ad-up.com,11-jul-2022,1657497600.0
ad120m.com,ad120m.com,13-jun-2021,1623542400.0
ad127m.com,ad127m.com,13-jun-2021,1623542400.0
ad2flash.com,ad2flash.com,25-jan-2021,1611532800.0
ad2games.com,ad2games.com,26-jun-2021,1624665600.0
ad4.com.cn,ad4.com.cn,16-mar-2021,1615852800.0
ad4game.com,ad4game.com,12-may-2021,1620777600.0
ad4push.com,ad4push.com,07-nov-2021,1636243200.0
ad6media.fr,ad6media.fr,20-apr-2021,1618876800.0
adadvisor.net,adadvisor.net,08-apr-2024,1712534400.0
adap.tv,adap.tv,21-feb-2021,1613865600.0
adbard.net,adbard.net,20-mar-2021,1616198400.0
adblade.com,adblade.com,30-oct-2021,1635552000.0
adblockanalytics.com,adblockanalytics.com,03-feb-2021,1612310400.0
adboost.net,adboost.net,25-apr-2021,1619308800.0
adbooth.com,adbooth.com,11-apr-2024,1712793600.0
adbooth.net,adbooth.net,23-mar-2023,1679529600.0
adbrite.com,adbrite.com,16-jun-2021,1623801600.0
adbro.me,adbro.me,06-sep-2021,1630886400.0
adbuddiz.com,adbuddiz.com,29-mar-2021,1616976000.0
adbunker.com,adbunker.com,06-mar-2021,1614988800.0
adbutler.com,adbutler.com,16-mar-2023,1678924800.0
adbuyer.com,adbuyer.com,24-sep-2021,1632441600.0
adcamp.ru,adcamp.ru,25-aug-2021,1629849600.0
adcenter.net,adcenter.net,30-mar-2021,1617062400.0
adcept.net,adcept.net,19-mar-2021,1616112000.0
adchoices.com,adchoices.com,16-jun-2021,1623801600.0
adchoices.info,adchoices.info,04-oct-2021,1633305600.0
adclick.com,adclick.com,22-sep-2021,1632268800.0
adcloud.net,adcloud.net,23-jan-2022,1642896000.0
adcolony.com,adcolony.com,07-aug-2021,1628294400.0
adcome.cn,adcome.cn,22-jul-2021,1626912000.0
adcycle.com,adcycle.com,27-oct-2021,1635292800.0
addapptr.com,addapptr.com,14-sep-2021,1631577600.0
addealing.com,addealing.com,10-may-2021,1620604800.0
addesktop.com,addesktop.com,17-aug-2021,1629158400.0
addfreestats.com,addfreestats.com,21-aug-2021,1629504000.0
addme.com,addme.com,28-jul-2024,1722124800.0
addthis.com,addthis.com,25-may-2021,1621900800.0
addtoany.com,addtoany.com,10-mar-2021,1615334400.0
adelva.com,adelva.com,17-jul-2021,1626480000.0
ademails.com,ademails.com,29-jul-2022,1659052800.0
adengage.com,adengage.com,19-mar-2021,1616112000.0
adexchangetracker.com,adexchangetracker.com,27-apr-2021,1619481600.0
adexpose.com,adexpose.com,09-aug-2021,1628467200.0
adextent.com,adextent.com,15-jun-2021,1623715200.0
adfalcon.com,adfalcon.com,24-feb-2021,1614124800.0
adflake.com,adflake.com,23-sep-2021,1632355200.0
adflight.com,adflight.com,01-mar-2021,1614556800.0
adforce.com,adforce.com,02-aug-2022,1659398400.0
adforgames.com,adforgames.com,18-jul-2023,1689638400.0
adform.com,adform.com,16-jul-2023,1689465600.0
adform.net,adform.net,23-sep-2023,1695427200.0
adformdsp.net,adformdsp.net,02-aug-2023,1690934400.0
adfuture.cn,adfuture.cn,12-sep-2021,1631404800.0
adgear.com,adgear.com,28-jul-2021,1627430400.0
adgoto.com,adgoto.com,16-apr-2021,1618531200.0
adgroups.net,adgroups.net,21-jan-2021,1611187200.0
adhese.com,adhese.com,04-apr-2025,1743724800.0
adhitzads.com,adhitzads.com,14-jan-2021,1610582400.0
adhood.com,adhood.com,03-feb-2024,1706918400.0
adimpact.com,adimpact.com,26-sep-2021,1632614400.0
adinch.com,adinch.com,28-feb-2021,1614470400.0
adinfuse.com,adinfuse.com,14-apr-2021,1618358400.0
adinjector.net,adinjector.net,10-sep-2021,1631232000.0
adinterax.com,adinterax.com,23-jan-2021,1611360000.0
adisfy.com,adisfy.com,31-jul-2021,1627689600.0
adition.com,adition.com,30-may-2021,1622332800.0
adition.net,adition.net,18-jul-2021,1626566400.0
adizio.com,adizio.com,26-mar-2021,1616716800.0
adj.st,adj.st,06-jun-2021,1622937600.0
adjug.com,adjug.com,14-aug-2024,1723593600.0
adjuggler.net,adjuggler.net,29-mar-2021,1616976000.0
adjust.io,adjust.io,24-may-2021,1621814400.0
adjustnetwork.com,adjustnetwork.com,18-apr-2021,1618704000.0
adknowledge.com,adknowledge.com,16-jan-2022,1642291200.0
adkomo.com,adkomo.com,18-jan-2023,1674000000.0
adledge.com,adledge.com,23-jan-2021,1611360000.0
adlegend.com,adlegend.com,18-apr-2021,1618704000.0
adloox.com,adloox.com,25-feb-2022,1645747200.0
adlooxtracking.com,adlooxtracking.com,18-aug-2021,1629244800.0
adlure.net,adlure.net,10-apr-2021,1618012800.0
admagnet.net,admagnet.net,27-oct-2023,1698364800.0
admailtiser.com,admailtiser.com,25-oct-2022,1666656000.0
admarketplace.com,admarketplace.com,18-jan-2022,1642464000.0
